"subid","goal","true_state","utterance"
"136","informative","0","yes_bad"
"136","informative","1","not_terrible"
"139","informative","1","not_good"
"139","informative","2","yes_good"
"139","informative","0","yes_terrible"
"139","informative","3","yes_amazing"
"139","social","1","yes_bad"
"139","social","2","yes_good"
"139","social","0","not_terrible"
"139","social","3","yes_amazing"
"139","both","1","not_terrible"
"139","both","2","yes_good"
"139","both","0","not_terrible"
"139","both","3","yes_amazing"
"147","both","3","yes_amazing"
"147","both","2","yes_good"
"147","both","0","not_terrible"
"147","both","1","not_bad"
"147","informative","3","yes_amazing"
"147","informative","2","yes_good"
"147","informative","0","yes_terrible"
"147","informative","1","not_good"
"147","social","3","yes_amazing"
"147","social","2","yes_amazing"
"147","social","0","yes_amazing"
"147","social","1","yes_amazing"
"151","both","2","yes_good"
"151","both","1","not_terrible"
"151","both","0","not_amazing"
"151","both","3","yes_amazing"
"151","informative","2","yes_good"
"151","informative","1","not_good"
"151","informative","0","yes_terrible"
"151","informative","3","yes_amazing"
"151","social","2","yes_good"
"151","social","1","not_terrible"
"151","social","0","not_good"
"151","social","3","yes_amazing"
"152","social","3","yes_amazing"
"152","social","1","yes_amazing"
"152","social","2","yes_amazing"
"152","social","0","yes_amazing"
"152","informative","3","yes_amazing"
